Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2012,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CZ,KZ,,2,,live,,B,C
2012,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,KZ,,2,,live,,B,C
2012,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GB,NO,,6,20,live,,N,W
2012,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,US,EE,,,1,live,,E,F
2012,I,Harpia spp.,Aves,Falconiformes,Accipitridae,Harpia,BR,BE,BR,1,,carvings,,E,W
2012,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BR,BE,BR,2,,carvings,,E,W
2012,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,BR,BE,BR,,1,feathers,,E,W
2012,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NL,KR,XX,1,,skins,,E,O
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,DE,NO,,1,,live,,B,C
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,NZ,AU,,,1,live,,B,C
2012,I,Alligator spp.,Reptilia,Crocodylia,Alligatoridae,Alligator,MW,US,,9,,specimens,,M,W
2012,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,MY,DK,AR,,2,live,,B,C
2012,I,Anas oustaleti,Aves,Anseriformes,Anatidae,Anas,AO,NA,,,4,live,,B,C
2012,I,Araucaria araucana,,Pinales,Araucariaceae,Araucaria,KR,NL,,50,,live,,G,A
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CH,CA,,1,1,carvings,,E,O
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,FR,CA,,,1,baleen,,E,O
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,FR,CA,,,1,bones,,E,O
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,,1,carvings,,E,W
2012,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,CA,FR,XX,,3,bones,,E,O
2012,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,CA,FR,XX,,1,carvings,,E,O
2012,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,CA,FR,XX,,1,carvings,,E,W
2012,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,FR,CA,XX,1,,bones,,E,O
2012,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,FR,CA,XX,1,,carvings,,E,O
2012,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,FR,CA,XX,1,,carvings,,E,W
2012,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,FR,CA,XX,2,,tusks,,E,O
2012,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CN,AU,CN,13,,specimens,,E,W
2012,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,HK,KR,,,1,specimens,ml,M,W
2012,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,FR,XX,,1,hair,,E,W
2012,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,CA,XX,1,,specimens,,E,W
2012,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,FR,CA,,,1,baleen,,E,W
2012,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,DE,IS,,450,450,bones,kg,E,W
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,AR,US,,1,,trophies,,H,C
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,1,,bodies,,H,F
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,1,,horns,,H,F
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,1,,skins,,H,F
2012,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,,3,trophies,,H,F
