Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2012,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,BE,NO,,69,69,specimens,,S,W
2012,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,JP,KR,JP,2,,carvings,,Q,O
2012,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,US,PE,XX,1,,feet,,P,I
2012,I,Pithecophaga jefferyi,Aves,Falconiformes,Accipitridae,Pithecophaga,US,PH,,5,,feathers,,S,W
2012,I,Pithecophaga jefferyi,Aves,Falconiformes,Accipitridae,Pithecophaga,US,PH,,61,,specimens,,S,W
2012,I,Acipenser sturio,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,NL,KR,XX,,1,live,,Q,O
2012,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,AU,US,XX,,2,hair,,S,W
2012,I,Branta canadensis leucopareia,Aves,Anseriformes,Anatidae,Branta,CA,US,,,1,skeletons,,S,W
2012,I,Alouatta spp.,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,111,specimens,ml,S,W
2012,I,Alouatta spp.,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,51,specimens,,S,W
2012,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,CH,US,PA,,2,skeletons,,S,O
2012,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,CH,US,XX,1,,skeletons,,S,O
2012,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,CH,US,XX,1,,skulls,,S,O
2012,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,192,specimens,ml,S,W
2012,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,133,specimens,,S,W
2012,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,DE,MX,,,765,specimens,,S,W
2012,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,US,GT,,14,,bone carvings,,Q,I
2012,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,145,specimens,ml,S,W
2012,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,72,specimens,,S,W
2012,I,Oreonax flavicauda,Mammalia,Primates,Atelidae,Oreonax,US,PE,,,0.8,specimens,ml,S,W
2012,I,Atrichornis clamosus,Aves,Passeriformes,Atrichornithidae,Atrichornis,NZ,AU,,50,,specimens,ml,S,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,AU,CA,,,1,bones,,P,O
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,AU,SG,AU,,6,bones,,Q,O
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,FR,,1,,bones,,Q,O
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,2,baleen,,P,I
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,6,specimens,,S,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CH,CA,,1,1,bones,,P,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,XX,,2,baleen,,S,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2,,baleen,kg,P,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,9,11,baleen,,P,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2,,baleen,,S,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,10,8,carvings,,P,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,,13,specimens,,S,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,NZ,AU,XX,,6,unspecified,,Q,O
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,SG,NZ,AU,,6,baleen,,S,O
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,SG,NZ,AU,6,,bones,,Q,O
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,1,,bone carvings,,P,O
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,50,,specimens,,S,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,1,,bone carvings,,Q,W
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,FR,XX,1,,bone carvings,,P,O
2012,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,XX,CA,XX,,346,baleen,,Q,O
2012,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,CA,FR,,1,,baleen,,Q,O
2012,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,CA,FR,,1,,baleen,,Q,W
2012,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,BR,AR,,40,,bodies,,S,W
2012,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,XX,,2,bone carvings,,S,W
2012,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,XX,2,,bone carvings,,S,W
2012,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,FR,XX,1,,bone carvings,,P,U
2012,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,NZ,,26,,specimens,,S,W
2012,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,XX,AU,NZ,,1,bones,,Q,W
2012,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,ZA,ZZ,,50,,skins,,S,W
2012,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,47,skin pieces,,S,W
2012,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CN,US,,1,,specimens,microgrammes,S,W
2012,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CN,US,,,1,specimens,,S,W
2012,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,JP,ZZ,,5,,skin pieces,g,S,W
2012,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,,5,,specimens,g,S,I
2012,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CN,AU,CN,,13,specimens,,Q,W
2012,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,IS,,,688,specimens,ml,S,W
2012,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,74,,bodies,,S,W
2012,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,CA,,,82,specimens,,S,W
2012,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,US,1,,specimens,,S,W
2012,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CL,AQ,120,,bone pieces,,S,W
2012,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CL,,,120,bone pieces,,S,W
2012,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,1,,meat,,P,I
2012,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,103,,bodies,,S,W
2012,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CL,,3,,specimens,,S,W
2012,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX,CL,,,120,bone pieces,,S,W
2012,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX,CL,,,3,specimens,g,S,W
2012,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,XX,CL,,,20,specimens,,S,W
2012,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,100,,bodies,,S,W
2012,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,205,,skin pieces,g,S,W
2012,I,Balaenoptera borealis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,,44,,specimens,,S,W
2012,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,XX,,1,skulls,,S,W
2012,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,50,,bodies,,S,W
2012,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,JP,ZZ,,210,,skin pieces,g,S,W
2012,I,Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,CA,XX,1,,skulls,,S,W
2012,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,AU,OM,,6,6,specimens,,S,W
2012,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,XX,,1,bone carvings,,S,W
2012,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CN,US,,1,,specimens,microgrammes,S,W
