Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2014,I,Aquila heliaca,Aves,Falconiformes,Accipitridae,Aquila,FR,AE,FR,,1,live,,P,C
2014,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,CN,KR,XX,,4,specimens,,Q,O
2014,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,GL,DK,XX,1,1,bodies,,P,O
2014,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,RU,JP,RU,,1,derivatives,,Q,O
2014,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,CA,PE,,,1,specimens,,S,W
2014,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,US,IE,XX,1,,feathers,,P,I
2014,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,US,PE,,4,,feathers,,P,I
2014,I,Acipenser spp.,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,GB,QA,XX,2,,carvings,,Q,O
2014,I,Acipenser spp.,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,GB,QA,,,2,carvings,,Q,O
2014,I,Acipenser spp.,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,QA,GB,XX,2,,live,,Q,O
2014,I,Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,CA,US,,18,,specimens,g,S,W
2014,I,Acipenser brevirostrum,Actinopteri,Acipenseriformes,Acipenseridae,Acipenser,US,CA,,,0.25,eggs (live),kg,S,C
2014,I,Ailurus fulgens,Mammalia,Carnivora,Ailuridae,Ailurus,CN,KR,XX,,2,specimens,,Q,O
2014,I,Alligator sinensis,Reptilia,Crocodylia,Alligatoridae,Alligator,US,CA,US,1,,specimens,,S,C
2014,I,Caiman latirostris,Reptilia,Crocodylia,Alligatoridae,Caiman,US,CA,US,2,,specimens,,S,C
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,DE,CR,,300,300,specimens,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,10,specimens,cm3,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,410,specimens,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,5,teeth,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CA,XX,1,,skulls,,P,I
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,,35,hair,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,6,,specimens,g,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,CR,,,6,specimens,,S,W
2014,I,Alouatta palliata,Mammalia,Primates,Atelidae,Alouatta,US,PA,,52,,specimens,,S,W
2014,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,10,specimens,cm3,S,W
2014,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,410,specimens,,S,W
2014,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,ES,MX,,,5,teeth,,S,W
2014,I,Alouatta pigra,Mammalia,Primates,Atelidae,Alouatta,US,MX,,,246,specimens,,S,W
2014,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,DE,CR,,,200,specimens,,S,W
2014,I,Ateles geoffroyi,Mammalia,Primates,Atelidae,Ateles,US,CR,,,11,specimens,,S,W
2014,I,Ateles geoffroyi frontatus,Mammalia,Primates,Atelidae,Ateles,US,CR,,11,,specimens,g,S,W
2014,I,Ateles geoffroyi ornatus,Mammalia,Primates,Atelidae,Ateles,US,PA,XX,1,,skulls,,P,I
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,50,,skin pieces,,S,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,GL,,,0.5,specimens,kg,S,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,52,,baleen,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,11,baleen,,Q,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,39,,carvings,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,76,carvings,,Q,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,27,,meat,kg,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,CA,US,,,27,meat,kg,Q,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,3,baleen,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,1,1,carvings,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,DK,GL,,2,,derivatives,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,GB,US,,,1,specimens,,S,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,SE,GL,,,2,baleen,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,SE,GL,,2,,derivatives,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,SZ,GL,,2,,derivatives,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,,27,baleen,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,,36,carvings,,P,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,US,41,,carvings,,Q,W
2014,I,Balaena mysticetus,Mammalia,Cetacea,Balaenidae,Balaena,US,CA,,,2,bones,,P,O
2014,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,AU,FR,FR,,1,carvings,,Q,O
2014,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,US,AU,PF,1,,bone carvings,,Q,O
2014,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,US,AU,,,1,carvings,,Q,O
2014,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,US,JP,,120,,specimens,,S,W
2014,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,FR,AU,MO,5,,carvings,,Q,O
2014,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,FR,AU,MO,1,,garments,,Q,O
2014,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,FR,AU,,,6,baleen,,Q,O
2014,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,FR,AU,,,5,specimens,,Q,O
2014,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,US,AU,,1,specimens,,S,W
2014,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,MG,,5,3,specimens,,S,W
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,2,bone pieces,,S,W
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,CA,US,,,18,skin pieces,,S,W
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,US,,,1,specimens,,S,W
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,XX,1,,bone pieces,,S,I
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,,8,,specimens,,S,I
2014,I,Eubalaena glacialis,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,,3,,specimens,,S,W
2014,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,GB,US,,,1,specimens,,S,W
2014,I,Eubalaena japonica,Mammalia,Cetacea,Balaenidae,Eubalaena,US,CA,,1,,specimens,,S,W
2014,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IT,IS,,,1.85,bones,kg,P,W
2014,I,Balaenoptera spp.,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,IT,IS,,1,,bones,,P,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,,,3,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CL,XX,US,120,,bone pieces,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CN,KR,XX,,12,specimens,,Q,O
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,IS,,,27,specimens,g,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DE,IS,,38,38,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,1,,baleen,,P,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,2,,carvings,,P,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,DK,GL,,1010,,meat,kg,P,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,ES,IS,,10,,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,GL,,,3,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,NL,US,,,6,specimens,,S,W
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,EE,,1,,meat,,P,I
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,IS,,14,,meat,g,P,I
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,JP,XX,100,,meat,g,P,I
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,XX,3,,meat,,P,I
2014,I,Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,US,NO,,8,,meat,,P,I
2014,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,AQ,,2,specimens,,S,W
2014,I,Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,US,,,15,specimens,,S,W
