Year,App.,Taxon,Class,Order,Family,Genus,Importer,Exporter,Origin,Importer reported quantity,Exporter reported quantity,Term,Unit,Purpose,Source
2015,I,Haliaeetus albicilla,Aves,Falconiformes,Accipitridae,Haliaeetus,NZ,IT,,,1,bodies,,E,C
2015,I,Harpia harpyja,Aves,Falconiformes,Accipitridae,Harpia,GH,SR,,,2,feathers,,E,W
2015,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,TN,FR,FR,,1,specimens,,E,O
2015,I,Balaenidae spp.,Mammalia,Cetacea,Balaenidae,,TN,FR,XX,1,,specimens,,E,O
2015,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,TN,FR,XX,3,,baleen,,E,O
2015,I,Eubalaena spp.,Mammalia,Cetacea,Balaenidae,Eubalaena,TN,FR,XX,,3,teeth,,E,O
2015,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,TN,FR,DK,1,,specimens,,E,O
2015,I,Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,TN,FR,DK,,1,teeth,,E,O
2015,I,Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,FR,CA,,1,baleen,,E,W
2015,I,Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,CA,FR,CA,,1,baleen,,E,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,TN,FR,FR,,1,skin pieces,,E,W
2015,I,Megaptera novaeangliae,Mammalia,Cetacea,Balaenopteridae,Megaptera,TN,FR,,1,,skin pieces,,E,O
2015,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,2,,skins,,H,F
2015,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,CA,US,,2,,skulls,,H,F
2015,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,MX,US,XX,1,,trophies,,H,W
2015,I,Addax nasomaculatus,Mammalia,Artiodactyla,Bovidae,Addax,MX,US,,5,,live,,B,F
